x,y,Class
2.185998128721750311e-01,-8.042160232917894280e-01,0.000000000000000000e+00
4.038588071438866112e-01,1.148061037529157336e+00,0.000000000000000000e+00
5.079616093893692952e-01,-3.911703115488991411e-01,0.000000000000000000e+00
4.971388976874441257e-02,-3.511810847520430157e-01,1.000000000000000000e+00
-5.228325468444023905e-01,1.996717897464029279e-01,1.000000000000000000e+00
-4.164485432265823683e-01,1.517462587191806545e-01,1.000000000000000000e+00
-3.360810072681017502e-01,-5.583082805640509072e-01,1.000000000000000000e+00
7.987536777114465636e-01,1.156517689681497485e+00,0.000000000000000000e+00
-1.101385142273860751e-01,5.792099152389192929e-01,1.000000000000000000e+00
2.429362324275216589e-01,-3.534477063215035186e-01,1.000000000000000000e+00
-4.991022677482163106e-01,-8.910208191207823480e-01,0.000000000000000000e+00
-2.566522001094495575e-01,-6.955694433184569370e-01,0.000000000000000000e+00
-6.037803819508009706e-01,-3.904322481613019535e-01,1.000000000000000000e+00
-6.609637438378984653e-02,9.449154462906352858e-01,1.000000000000000000e+00
-2.235398632361086657e-01,-9.087947495707400236e-01,1.000000000000000000e+00
1.427628159892562199e-01,1.126390619023901696e+00,0.000000000000000000e+00
-8.624183623236648666e-01,1.526388783711885855e-01,0.000000000000000000e+00
-8.680177658225165516e-01,-4.775169784919234273e-01,0.000000000000000000e+00
-6.643362833434662829e-01,5.894375240576571473e-02,1.000000000000000000e+00
-6.865967217037467485e-01,-1.787282862191402755e-01,0.000000000000000000e+00
-7.270507485194467323e-01,-1.217556431252981297e-01,1.000000000000000000e+00
5.970972363556634743e-01,-1.011993012080461884e+00,0.000000000000000000e+00
-8.376858477622851629e-01,-2.255882514418739715e-01,0.000000000000000000e+00
-1.902430563625165383e-01,-1.486929223159316305e+00,1.000000000000000000e+00
1.060144853205369886e+00,-7.076109323875380275e-01,1.000000000000000000e+00
2.312039951504119006e-01,-5.317892266237340682e-01,1.000000000000000000e+00
